,Id_pol,Annual.pct.driven,Total.miles.driven,Pct.drive.mon,Pct.drive.tue,Pct.drive.wed,Pct.drive.thr,Pct.drive.fri,Pct.drive.sat,Pct_drive_sun,Pct.drive.2hrs,Pct.drive.3hrs,Pct.drive.4hrs,Pct.drive.wkday,Pct.drive.wkend,Pct.drive.rush am,Pct.drive.rush pm,Avgdays.week,Accel.06miles,Accel.08miles,Accel.09miles,Accel.11miles,Accel.12miles,Accel.14miles,Brake.06miles,Brake.08miles,Brake.09miles,Brake.11miles,Brake.12miles,Brake.14miles,Left.turn.intensity08,Left.turn.intensity09,Left.turn.intensity10,Left.turn.intensity11,Left.turn.intensity12,Right.turn.intensity08,Right.turn.intensity09,Right.turn.intensity10,Right.turn.intensity11,Right.turn.intensity12,NB_Claim,AMT_Claim,Duration,Insured_age,Insured_sex,Car_age,Marital,Car_use,Credit_score,Region,Annual_miles_drive,Years_noclaims,Territory
0,212355,0.6,5563.38534,0.143993269,0.166667452,0.130722626,0.141440981,0.140169745,0.151941051,0.125064876,0.003748224,0.002248935,0.0,0.722489347,0.277510653,0.124964489,0.147482244,5.174964489,37.0,3.0,1.0,1.0,1.0,1.0,174.0,27.0,7.0,2.0,1.0,0.0,647.0,265.0,53.0,14.0,3.0,666.0,310.0,59.0,22.0,6.0,1,4546.222412,229,54,Female,9,Married,Private,775.0,Urban,6213.71,28.0,18
1,171111,0.676712329,5105.247008,0.119402773,0.20130633,0.155284846,0.137793184,0.153848061,0.130375548,0.101989258,0.002128737,0.000188123,0.0,0.768118772,0.231881228,0.078812282,0.127524913,5.694061411,4.0,0.0,0.0,0.0,0.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,291.0,103.0,21.0,7.0,1.0,622.0,324.0,88.0,24.0,9.0,1,470.1144104,331,56,Female,9,Married,Commute,776.0,Urban,12427.42,30.0,64
2,199324,0.315068493,3530.909423,0.130442762,0.161077698,0.162398462,0.161847916,0.131379177,0.128150945,0.124703041,0.0,0.0,0.0,0.745278152,0.254721848,0.116909769,0.12090231,6.485413862,80.0,6.0,1.0,0.0,0.0,0.0,106.0,13.0,4.0,1.0,1.0,0.0,1049.0,447.0,114.0,41.0,15.0,2131.0,1145.0,395.0,186.0,78.0,1,185.4483032,365,38,Female,9,Married,Commercial,685.0,Urban,12427.42,21.0,71
3,160668,0.936986301,20508.52088115404,0.145543725,0.176016908,0.194093293,0.1551841659999999,0.16519471,0.097721033,0.066246165,0.005739211,0.0,0.0,0.8384052609999999,0.161594739,0.172026307,0.146228937,5.97392108,67.0,6.0,1.0,1.0,0.0,0.0,129.0,12.0,4.0,1.0,1.0,0.0,593.0,310.0,117.0,60.0,30.0,2446.0,1515.0,609.0,316.0,151.0,1,2343.274292,366,46,Female,7,Single,Private,491.0,Urban,6213.71,30.0,77
4,195403,0.520547945,7636.937993135941,0.180196507,0.155260244,0.132918667,0.155619642,0.172081861,0.134562887,0.069360192,0.000827335,0.000236381,0.000118191,0.797636185,0.202363815,0.114681417,0.082363815,5.182271391,70.0,10.0,2.0,0.0,0.0,0.0,49.0,5.0,1.0,0.0,0.0,0.0,969.0,542.0,178.0,75.0,30.0,824.0,502.0,162.0,72.0,27.0,1,6409.722656,365,37,Male,6,Married,Commute,690.0,Urban,15534.275,16.0,83
5,171456,1.0,18857.291710842863,0.060398491,0.057607942,0.061726783,0.200329978,0.226151996,0.195018022,0.198766789,0.0085759659999999,0.003941239,0.000919534,0.6094123889999999,0.390587611,0.076130228,0.17,6.989782953,129.0,3.0,0.0,0.0,0.0,0.0,367.0,45.0,9.0,2.0,0.0,0.0,1937.0,1104.0,418.0,208.0,98.0,2356.0,1346.0,480.0,214.0,78.0,1,940.4875485,366,42,Male,1,Married,Commute,723.0,Urban,6213.71,8.0,77
6,175198,0.832876712,12366.83556321367,0.141567008,0.149014022,0.176772593,0.169694528,0.1647135569999999,0.120803866,0.077434426,0.004533745,0.001,0.000638036,0.8,0.2,0.063619635,0.201042919,6.2171781070000005,25.0,1.0,1.0,0.0,0.0,0.0,35.0,3.0,1.0,0.0,0.0,0.0,22.0,7.0,2.0,1.0,0.0,14.0,6.0,1.0,1.0,0.0,1,5292.574585,365,33,Male,8,Single,Commute,707.0,Urban,9320.565,17.0,30
7,123579,0.712328767,8750.003991339381,0.147011767,0.150494516,0.160518792,0.159746463,0.158941981,0.115212675,0.108073806,0.004033398,3.34e-05,0.0,0.773654464,0.226345536,0.175658318,0.1693320489999999,6.6365446420000005,145.0,16.0,5.0,1.0,1.0,0.0,100.0,14.0,4.0,1.0,1.0,0.0,166.0,64.0,15.0,4.0,1.0,586.0,311.0,110.0,47.0,19.0,1,554.1539612,366,45,Female,2,Single,Commute,807.0,Urban,6213.71,27.0,24
8,134323,0.501369863,6438.869622737399,0.138933857,0.153047231,0.162252127,0.151727299,0.150978636,0.137702196,0.105358653,0.001,0.0,0.0,0.753430655,0.246569345,0.179416068,0.096861311,6.3686131060000015,6.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,0.0,0.0,0.0,86.0,26.0,1.0,1.0,0.0,798.0,350.0,57.0,13.0,2.0,1,514.4128418,182,60,Male,3,Married,Commute,812.0,Rural,15410.0008,42.0,69
9,156177,1.0,10422.694663551008,0.136653309,0.141598314,0.146808518,0.154277388,0.159909308,0.140688073,0.12006509,0.002,0.0,0.0,0.739358217,0.260641783,0.052888023,0.081283566,6.222462398999999,32.0,3.0,1.0,0.0,0.0,0.0,35.0,4.0,1.0,0.0,0.0,0.0,541.0,213.0,42.0,16.0,2.0,1110.0,483.0,111.0,38.0,11.0,1,3513.796875,365,35,Female,6,Single,Commercial,882.0,Urban,12427.42,2.0,87
10,164660,0.391780822,1247.635214,0.158018522,0.121837517,0.137500105,0.124434581,0.185146998,0.161108477,0.1119538,0.0,0.0,0.0,0.723301628,0.276698372,0.315490032,0.06777355,5.277925734,79.0,5.0,1.0,0.0,0.0,0.0,66.0,6.0,2.0,1.0,0.0,0.0,419.0,232.0,79.0,33.0,14.0,301.0,150.0,56.0,34.0,16.0,1,1147.043335,365,44,Male,6,Married,Commute,831.0,Urban,12427.42,2.0,70
11,147751,0.991780822,12214.3839,0.181163769,0.165388763,0.152061745,0.178253107,0.197869865,0.070459608,0.054803142,0.000591675,0.000118335,0.000118335,0.877516341,0.122483659,0.371482631,0.369232888,5.23016855,22.0,2.0,0.0,0.0,0.0,0.0,63.0,9.0,2.0,1.0,0.0,0.0,689.0,386.0,117.0,35.0,11.0,1049.0,559.0,147.0,45.0,13.0,1,4236.135864,366,33,Male,5,Married,Commute,740.0,Urban,12427.42,19.0,35
